## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[out1_sample2_bwa_mapped.bam] OUTPUT=out2_sample2_dedup.bam METRICS_FILE=out2_sample2_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Sep 26 10:35:24 IST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	2	10235	111	2	0	1	0	0.000098	52374200

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	10233	10233
2.0	1.999805	1	1
3.0	2.999414	0	0
4.0	3.998828	0	0
5.0	4.998046	0	0
6.0	5.99707	0	0
7.0	6.995898	0	0
8.0	7.994531	0	0
9.0	8.992969	0	0
10.0	9.991212	0	0
11.0	10.989259	0	0
12.0	11.987112	0	0
13.0	12.98477	0	0
14.0	13.982232	0	0
15.0	14.9795	0	0
16.0	15.976573	0	0
17.0	16.973451	0	0
18.0	17.970135	0	0
19.0	18.966623	0	0
20.0	19.962917	0	0
21.0	20.959016	0	0
22.0	21.954921	0	0
23.0	22.950631	0	0
24.0	23.946146	0	0
25.0	24.941467	0	0
26.0	25.936594	0	0
27.0	26.931526	0	0
28.0	27.926263	0	0
29.0	28.920806	0	0
30.0	29.915155	0	0
31.0	30.90931	0	0
32.0	31.90327	0	0
33.0	32.897036	0	0
34.0	33.890608	0	0
35.0	34.883986	0	0
36.0	35.877169	0	0
37.0	36.870159	0	0
38.0	37.862954	0	0
39.0	38.855556	0	0
40.0	39.847963	0	0
41.0	40.840177	0	0
42.0	41.832197	0	0
43.0	42.824023	0	0
44.0	43.815655	0	0
45.0	44.807093	0	0
46.0	45.798338	0	0
47.0	46.789389	0	0
48.0	47.780246	0	0
49.0	48.77091	0	0
50.0	49.76138	0	0
51.0	50.751656	0	0
52.0	51.741739	0	0
53.0	52.731629	0	0
54.0	53.721325	0	0
55.0	54.710828	0	0
56.0	55.700137	0	0
57.0	56.689253	0	0
58.0	57.678176	0	0
59.0	58.666906	0	0
60.0	59.655442	0	0
61.0	60.643785	0	0
62.0	61.631936	0	0
63.0	62.619893	0	0
64.0	63.607657	0	0
65.0	64.595228	0	0
66.0	65.582606	0	0
67.0	66.569791	0	0
68.0	67.556783	0	0
69.0	68.543582	0	0
70.0	69.530188	0	0
71.0	70.516602	0	0
72.0	71.502823	0	0
73.0	72.488851	0	0
74.0	73.474687	0	0
75.0	74.46033	0	0
76.0	75.44578	0	0
77.0	76.431038	0	0
78.0	77.416103	0	0
79.0	78.400976	0	0
80.0	79.385656	0	0
81.0	80.370144	0	0
82.0	81.35444	0	0
83.0	82.338543	0	0
84.0	83.322454	0	0
85.0	84.306173	0	0
86.0	85.289699	0	0
87.0	86.273033	0	0
88.0	87.256175	0	0
89.0	88.239125	0	0
90.0	89.221883	0	0
91.0	90.204449	0	0
92.0	91.186823	0	0
93.0	92.169005	0	0
94.0	93.150995	0	0
95.0	94.132793	0	0
96.0	95.1144	0	0
97.0	96.095814	0	0
98.0	97.077037	0	0
99.0	98.058068	0	0
100.0	99.038907	0	0

